Field_11_0_0_54935_000_lang,ID,Field_11_0_0_54935_002,GossipXUIDisplayInfoID
|cnWHITE_FONT_COLOR:丢失的纪念品|r|n从入侵的狗头人那里夺回失窃的纪念品！,3,122390,51
|cnWHITE_FONT_COLOR:成群的狗头人|r|n狗头人已经占领了克莱格瓦之眠，快把他们赶出去！,4,122392,51
|cnWHITE_FONT_COLOR:达格兰的郊游|r|n达格兰·索瑞森二世正在寻求实地训练方面的帮助。,5,122393,51
|cnWHITE_FONT_COLOR:NYI|r|n,6,122394,51
|cnWHITE_FONT_COLOR:黑暗仪式|r|n玄夜会正在进行一场亵渎的仪式，想要腐化这片区域！,7,122376,59
|cnWHITE_FONT_COLOR:凯隆的突击|r|n崇高者凯隆打算对夜幕圣所发起突袭，需要你驰援相助！,8,122377,59
|cnWHITE_FONT_COLOR:信号杂音|r|n完成死去燃灯者的遗志，从玄夜会那里营救人质。,9,122378,59
|cnWHITE_FONT_COLOR:NYI|r|n,10,122379,59
|cnWHITE_FONT_COLOR:煎熬受害者|r|n进化蛛魔正在折磨幽暗要塞里的囚犯。,11,122380,60
|cnWHITE_FONT_COLOR:纺丝者救援|r|n有三位纺丝者特工被囚禁在了幽暗要塞。,12,122382,60
|cnWHITE_FONT_COLOR:进化研究|r|n一个进化蛛魔研究员正在进行扭曲的实验。,13,122384,60
|cnWHITE_FONT_COLOR:逃亡的进化体|r|n幽暗要塞中的一个实验品出了问题，并企图逃出生天。,14,122385,60
|cnWHITE_FONT_COLOR:失踪的矿工|r|n营救一群被真菌人抓住的土灵矿工。,15,122386,50
|cnWHITE_FONT_COLOR:腐朽蔓延|r|n一位肯瑞托法师正在驱散真菌人散布的腐朽。,16,122387,50
|cnWHITE_FONT_COLOR:探险者角逐|r|n探险者协会的成员在洞穴内展开了一场友好的比赛。,17,122388,50
|cnWHITE_FONT_COLOR:NYI|r|n,18,122389,50
|cnWHITE_FONT_COLOR:丢失的猪猡|r|n一个农民的猪在洞穴中失踪了，得把它们找回来。,19,122332,58
|cnWHITE_FONT_COLOR:超级寻宝游戏|r|n大厨迪奈雷正在举办一场寻宝游戏。,20,122333,58
|cnWHITE_FONT_COLOR:NYI|r|n,21,122334,58
|cnWHITE_FONT_COLOR:蘑菇点心|r|n阿丽亚·希尔海姆需要帮助，去帮她从一个可恶的怪物手里夺回蘑菇。,22,122335,58
|cnWHITE_FONT_COLOR:被俘的工程师|r|n狗头人占领了水能堡，并且绑架了那里的工程师。,23,122395,52
|cnWHITE_FONT_COLOR:信任问题|r|n帮助一位狗头人和一位机语者，找回水能堡里的宝物。,24,122396,52
|cnWHITE_FONT_COLOR:以踏服众|r|n机语者需要帮助，去测试一台设备来找回失窃的材料。,25,122397,52
|cnWHITE_FONT_COLOR:NYI|r|n,26,122399,52
|cnWHITE_FONT_COLOR:幻象营救|r|n营救被蜃鱼人绑架的阿拉索人。,27,122400,53
