ID,SortName_lang,UiOrderIndex
1,史诗,0
21,万圣节,0
22,季节活动,0
23,幽暗城,0
24,草药学,0
25,战场,0
41,悼念日,0
61,术士,0
81,战士,0
82,萨满祭司,0
101,钓鱼,0
121,锻造,0
141,圣骑士,0
161,法师,0
162,潜行者,0
181,炼金术,0
182,制皮,0
201,工程学,0
221,藏宝图,0
241,锦标赛,3
261,猎人,0
262,牧师,0
263,德鲁伊,0
264,裁缝,0
284,特殊,0
304,烹饪,0
324,急救,0
344,传说,0
364,暗月马戏团,0
365,安其拉战争,0
366,新年,0
367,声望,0
368,天灾入侵,0
369,仲夏节,0
370,美酒节,0
371,铭文,0
372,死亡骑士,0
373,珠宝加工,0
374,复活节,0
375,感恩节,0
376,情人节,0
377,考古学,0
378,儿童周,0
379,进攻火焰之地,0
380,赞达拉,0
381,元素誓约,0
391,熊猫人酒仙,0
392,场景战役,0
394,战斗宠物,2
395,武僧,0
396,登陆,0
397,熊猫人战役,0
398,骑术,0
399,搏击俱乐部,0
400,试炼场,0
401,要塞战役,0
402,进攻黑暗之门,0
403,要塞支援,0
404,伐木,0
405,扒窃,0
406,神器,0
407,恶魔猎手,0
408,采矿,0
409,周末活动,0
410,附魔,0
411,剥皮,0
412,世界任务,0
413,死亡骑士战役,0
416,恶魔猎手战役,0
417,德鲁伊战役,0
418,猎人战役,0
419,武僧战役,0
420,法师战役,0
421,牧师战役,0
422,圣骑士战役,0
423,萨满祭司战役,0
424,潜行者战役,0
425,术士战役,0
426,战士战役,0
427,职业大厅,0
428,抗魔联军战役,0
429,寻找伊利丹·怒风,0
430,海盗日,0
431,阿古斯远征队,0
432,战争前线,0
433,枭兽节,0
434,王者之路,0
435,克罗米之死,0
436,火箭鸡,0
437,光铸德莱尼,0
438,至高岭牛头人,0
439,虚空精灵,0
440,夜之子,0
441,地下城,0
442,团队,0
444,同盟种族,0
445,大酋长的议程,0
446,冒险之旅,0
447,联盟阵营战役,0
448,部落阵营战役,0
449,黑铁矮人,0
450,玛格汉兽人,0
451,暗影猎手,0
453,海岛探险,0
555,世界PvP,0
556,库尔提拉斯之傲,0
557,评级PvP,0
559,赞达拉巨魔,0
560,传承,0
561,任务荒野,0
562,泰兰德的复仇,0
563,萨鲁法尔的命运,0
564,免费T恤日,0
565,风暴熔炉,0
566,库尔提拉斯人,0
567,突袭,0
569,艾泽拉斯之心,0
571,专业,0
573,纳沙塔尔追随者,0
574,堕罪堡,0
575,科尔拉克的复仇,0
576,盟约圣所,0
579,推荐一个朋友,0
580,恩佐斯的幻象,0
582,狐人,0
583,机械侏儒,0
584,黑暗帝国战役,0
586,灰烬王庭,0
587,穿过破碎天空,0
588,亡者崛起,0
589,格里恩使命,0
590,法夜使命,0
591,通灵领主使命,0
592,温西尔使命,0
593,憎恶缝合,0
594,时空漫游战役,0
595,晋升之路,0
596,传说物品打造,0
600,9.1战役,0
601,初诞者密文,0
602,扎雷殁提斯战役,0
603,档案员卷宗,0
604,盟约突袭,0
606,原生体合成,0
607,第6章符号追踪,0
608,雷霆骤起,0
609,龙鳞探险队,0
610,拜荒风暴,0
611,伊斯卡拉海象人,0
612,马鲁克半人马,0
613,瓦德拉肯联军,0
614,唤魔师,0
615,商栈,0
616,创新引擎,0
617,工匠商盟,0
618,弥散营地,0
620,特使任务,0
622,研究员遇袭,0
625,系统,0
