ID,Name_lang,Field_12_0_0_63967_001,Flags,Field_12_0_0_63724_002,RoomWmoDataID,UiTextureAtlasElementID,WeightCost,ItemID
1,方形房間（小型）,1,4,0,5,31139,5,0
2,走廊,1,4,0,7,31132,3,0
3,衣櫥,1,4,0,4,31130,1,0
6,T字型房間,1,4,0,162,31143,3,0
7,方形房間（極小）,1,4,0,3,31140,2,0
8,L字型房間,1,4,0,163,31133,3,0
9,八角形房間（中型）,1,4,0,165,31135,8,0
10,樓梯井（左）,1,6,0,8,31142,7,0
11,方形房間（中型）,1,0,0,160,31138,12,0
12,方形房間（大型）,1,0,0,6,31137,20,0
13,十字形房間,1,4,0,161,31131,4,0
14,八角形房間（小型）,1,4,0,164,31136,4,0
15,八角形房間（大型）,1,0,0,166,31134,16,0
18,中型基本土地,1,1,0,172,0,0,0
46,入口,1,1,0,177,0,0,0
48,樓梯門房間（空的）,1,6,0,179,31144,6,0
50,樓梯井（右）,1,6,0,180,31141,7,0
113,Full_Layout_Prefab_S,1,8,0,187,0,0,0
132,Full_Layout_Rugged_Prefab_L01,1,8,0,202,0,0,0
151,Full_Layout_Rugged_Prefab_S01,1,8,0,219,0,0,0
223,日光圓形房間,3,8,0,233,32639,8,272045
233,傍晚圓形房間,3,8,0,255,32640,8,0
296,Full_Layout_Summer_Prefab_L01,0,8,0,0,0,1,274677
297,Full_Layout_Summer_Prefab_L02,0,8,0,0,0,1,274678
